"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000003402",2546.60932638954,1.18344751825219,0.163539128949921,7.23647928083674,4.60481974717614e-13,5.08550351175234e-11
"ENSG00000008256",3716.56541790484,1.20463020462431,0.204288465620282,5.89671179411274,3.70816708158665e-09,1.75349182603868e-07
"ENSG00000008311",721.941418739337,1.1077992199918,0.169645697906779,6.53007552599737,6.57365343266433e-11,4.64990906860942e-09
"ENSG00000009413",7584.97488843759,1.1200897173317,0.16835402351848,6.65318056511282,2.86825942592424e-11,2.22166809289462e-09
"ENSG00000011198",1159.40295920204,1.08963971543416,0.202003263041316,5.39416888137739,6.88414477462033e-08,2.39032028908622e-06
"ENSG00000012048",221.109604822104,-1.20938627426539,0.173819178311601,-6.95772633384189,3.45808118196898e-12,3.23452688520281e-10
"ENSG00000013293",244.49400651336,-2.83697519971885,0.359762783549045,-7.88568281502663,3.12820255577383e-15,4.29149584070705e-13
"ENSG00000013297",3431.54455302823,-1.7160889212986,0.263088947958235,-6.52284687219557,6.89852832465814e-11,4.83971343694664e-09
"ENSG00000015520",17.5126902473431,-2.56038268348552,0.718642962089078,-3.56280214035987,0.000366917228925935,0.00431083673627602
"ENSG00000016391",92.1101048399364,-2.0430526185546,0.453262551796207,-4.50743748950429,6.56152527784218e-06,0.000135325529766388
"ENSG00000019186",14.0875173434919,-4.4292946063497,1.03620576834201,-4.27453189479617,1.91539285982742e-05,0.000349176730293139
"ENSG00000020577",3104.99903050483,1.20711583817257,0.147996952614809,8.15635603872411,3.45283622590038e-16,5.52389257149185e-14
"ENSG00000023909",1927.70386518774,1.24618872983959,0.200005625050143,6.23076840727432,4.64152845869121e-10,2.73036715312289e-08
"ENSG00000025423",169.201816463876,-2.18444908371571,0.506073604524347,-4.31646516274811,1.58547689848124e-05,0.000296614137138819
"ENSG00000025708",144.696986437221,1.27469002901987,0.312291924950836,4.08172586985891,4.47025046820174e-05,0.000718514061170679
"ENSG00000028277",34.4572720229068,-2.01648203829472,0.519974336987328,-3.87804146254214,0.000105300773796858,0.00149588269365529
"ENSG00000035664",633.039689235768,1.56946182199203,0.441527386020911,3.55461942267315,0.000378526564739805,0.00443505662916905
"ENSG00000041515",10.1316555228039,1.73915999291032,0.529035631927529,3.28741560672148,0.0010111148998089,0.00996445875355716
"ENSG00000046653",1090.45643883243,2.5845007824414,0.765065675731284,3.37814237969965,0.000729772850220883,0.0076592591355494
"ENSG00000048540",60.0651412567297,1.43089681396275,0.415211458552734,3.44618816385825,0.00056855432734261,0.00618949677914021
"ENSG00000049246",196.028265600041,-2.16537790078476,0.283212157945244,-7.64578016881399,2.07682219799524e-14,2.5213505237789e-12
"ENSG00000049759",1212.97707090486,-1.08130813872039,0.193985474826717,-5.57417064182923,2.48711857891038e-08,9.72020452826207e-07
"ENSG00000055163",284.230911081761,-1.0118879552721,0.259700298379927,-3.89636808884897,9.76459509350256e-05,0.00139991908551572
"ENSG00000056736",73.8580981973172,-1.01630480243411,0.281653935202537,-3.60834582944238,0.000308155547390281,0.00373509930616704
"ENSG00000057657",212.552949723346,1.2705722724869,0.297895658510263,4.26515874330249,1.99760122347254e-05,0.000361402151059585
"ENSG00000060718",363.7631440814,2.38256195930808,0.646007925004639,3.68813116230883,0.000225907197754769,0.00286833426240324
"ENSG00000061337",66.690939169056,-1.01277366312969,0.229116246725504,-4.42034852440235,9.85418403570096e-06,0.000195010314824427
"ENSG00000064201",16.9796928099119,-1.60092484547069,0.457156302300187,-3.50192010350862,0.000461918113642391,0.00525040788136152
"ENSG00000064309",348.466903387175,-1.64649093405668,0.299223086817159,-5.50255313375194,3.74330358986e-08,1.4052164660356e-06
"ENSG00000065809",2255.37318851588,-1.01341822206552,0.18211079780808,-5.56484422814687,2.62386690594522e-08,1.01458277411075e-06
"ENSG00000066468",28.7031609448735,-2.36011481492583,0.681547344776129,-3.46287727920218,0.0005344320870387,0.00587943988812884
"ENSG00000067082",3242.40128751998,1.11043438491643,0.155374219992956,7.14683803379203,8.87995472333542e-13,9.44143260584197e-11
"ENSG00000067798",705.207281858137,2.25851209050818,0.385570130971513,5.85759090004575,4.69629778433769e-09,2.14949800728055e-07
"ENSG00000068383",1247.23914866505,1.39524789009234,0.299886769046152,4.65258235476741,3.27803751211552e-06,7.44453976715845e-05
"ENSG00000068831",97.80859654551,1.95644215742438,0.319755898264924,6.11854908084737,9.44311985344008e-10,5.29991231643237e-08
"ENSG00000069431",849.097214895302,1.04720288289449,0.303881538220357,3.44608918668538,0.000568762614416844,0.00618949677914021
"ENSG00000070404",2128.12177561681,1.86506392091639,0.299229662573766,6.2328844836919,4.5792385246328e-10,2.71236695725482e-08
"ENSG00000070808",23.5852977806582,-2.26494678500561,0.410109444107604,-5.52278621608951,3.33665631163451e-08,1.2664497282164e-06
"ENSG00000070882",1106.4991291192,-1.09546207161789,0.216235985985269,-5.06604886613329,4.06157694131849e-07,1.14352095528766e-05
"ENSG00000071282",3659.86212780504,1.59619976823807,0.227835599499204,7.00592783457287,2.45354362989576e-12,2.33920589587675e-10
"ENSG00000072163",665.150392659381,1.30273813923605,0.331864564682798,3.92551142205025,8.65456630013724e-05,0.00126191538267248
"ENSG00000072571",36.6278171475339,1.54078072049799,0.305835231694712,5.03794383649042,4.70559464422722e-07,1.31618250195885e-05
"ENSG00000072958",2129.43309251556,1.08851385226982,0.126830068701599,8.58245890279251,9.28663153020495e-18,1.76631731704498e-15
"ENSG00000074590",412.639827468157,1.36547512387582,0.189822359623027,7.19343667725737,6.31804619108446e-13,6.88868246490343e-11
"ENSG00000074660",29.0085221353746,1.33454058926697,0.334397538924716,3.99088041604105,6.58284681088651e-05,0.00100342984602632
"ENSG00000075213",714.292422694761,-1.22237081908237,0.226526717712171,-5.39614413446599,6.80882568442737e-08,2.37379792395168e-06
"ENSG00000075240",576.834673930795,-1.15556489478034,0.192780178346805,-5.99421011376764,2.04476858572295e-09,1.03557244527827e-07
"ENSG00000077063",329.881095802951,-1.06363928506184,0.174075020829392,-6.11023500094418,9.94845396033935e-10,5.52914399003536e-08
"ENSG00000077684",1570.63392682279,1.20687900242556,0.109734438258827,10.9981790728169,3.89926141123659e-28,2.56721372452107e-25
"ENSG00000077943",468.382323636183,1.09914370883075,0.320143664622331,3.43328271114592,0.000596319961256795,0.00643619489079055
"ENSG00000078053",358.688992464954,1.15004715974235,0.166872863246662,6.89175661858465,5.51075997535044e-12,4.8625355287654e-10
"ENSG00000079101",6.7724663151121,-2.97231829774682,0.886290200160952,-3.35366260081297,0.000797495416839142,0.00822876826127332
"ENSG00000079462",58.3116305167459,-1.03318421241731,0.208241191647876,-4.9614785827982,6.99585851738201e-07,1.85955133696499e-05
"ENSG00000079691",1509.44660948859,1.17750188632919,0.193259287868073,6.0928605259738,1.10910690297097e-09,6.06571628276583e-08
"ENSG00000081052",207.134577208693,1.97279931152605,0.407428076840901,4.84207992444376,1.28487059904022e-06,3.21086349114899e-05
"ENSG00000081320",1491.68998319557,1.111736380084,0.296150904283085,3.75395233985613,0.00017406797457675,0.00228329163893088
"ENSG00000083223",1486.90383194881,1.12370077107167,0.175128779120844,6.41642553960981,1.39511136555818e-10,9.08042446981937e-09
"ENSG00000083290",1522.66160217916,1.1833769257179,0.219353576619701,5.39483761310877,6.85855520136148e-08,2.38627536457126e-06
"ENSG00000084090",3609.49027468893,1.27017676261237,0.191630309545253,6.62826650766546,3.3965184374476e-11,2.60724675391157e-09
"ENSG00000084710",10.3957442696493,-2.68473757980962,0.670718602921072,-4.00277786856845,6.26030746342928e-05,0.000957675988909583
"ENSG00000085117",1911.07882271632,1.25094067768321,0.27480687514583,4.55207198516916,5.31201525153571e-06,0.000112957859721476
